text,intent,language
हैलो,greeting,hin
हाय,greeting,hin
हाय,greeting,hi
हैलो,greeting,hin
नमस्ते,greeting,hin
hello,greeting,en-IN
hey jarvis,greeting,en
हैलो,greeting,hi
नमस्ते,greeting,hin
hello,greeting,en-IN
हैलो,greeting,hi
hey jarvis,greeting,en-IN
good morning,greeting,en
hey jarvis,greeting,en-IN
hey jarvis,greeting,en
hey jarvis,greeting,en-IN
hey jarvis,greeting,en-IN
hello,greeting,en-IN
good morning,greeting,en
नमस्ते,greeting,hi
हाय,greeting,hin
हैलो,greeting,hin
हाय,greeting,hin
हाय,greeting,hin
hello,greeting,en
hi,greeting,en-IN
हैलो,greeting,hi
hi,greeting,en-IN
hi,greeting,en
hi,greeting,en-IN
good morning,greeting,en
नमस्ते,greeting,hin
हाय,greeting,hin
hello,greeting,en-IN
good morning,greeting,en-IN
hey jarvis,greeting,en
hi,greeting,en-IN
good morning,greeting,en-IN
hello,greeting,en-IN
hello,greeting,en-IN
hello,greeting,en-IN
नमस्ते,greeting,hi
hi,greeting,en
hi,greeting,en-IN
hello,greeting,en-IN
hi,greeting,en
hello,greeting,en
good morning,greeting,en-IN
हाय,greeting,hi
नमस्ते,greeting,hi
नमस्ते,greeting,hi
हैलो,greeting,hi
नमस्ते,greeting,hin
hello,greeting,en-IN
hi,greeting,en-IN
हाय,greeting,hin
hello,greeting,en-IN
हैलो,greeting,hi
hi,greeting,en-IN
हाय,greeting,hin
hello,greeting,en-IN
good morning,greeting,en-IN
हाय,greeting,hi
हाय,greeting,hin
हाय,greeting,hin
हाय,greeting,hi
good morning,greeting,en
नमस्ते,greeting,hin
हैलो,greeting,hi
हाय,greeting,hi
hi,greeting,en
हाय,greeting,hin
नमस्ते,greeting,hin
नमस्ते,greeting,hi
नमस्ते,greeting,hin
hello,greeting,en
हाय,greeting,hi
hello,greeting,en
नमस्ते,greeting,hin
हाय,greeting,hi
नमस्ते,greeting,hi
हैलो,greeting,hi
नमस्ते,greeting,hi
नमस्ते,greeting,hin
नमस्ते,greeting,hin
good morning,greeting,en
हैलो,greeting,hin
हैलो,greeting,hi
नमस्ते,greeting,hin
हैलो,greeting,hi
हैलो,greeting,hin
हाय,greeting,hi
hey jarvis,greeting,en
good morning,greeting,en-IN
hey jarvis,greeting,en
हाय,greeting,hin
हैलो,greeting,hin
हैलो,greeting,hi
हैलो,greeting,hin
हाय,greeting,hi
hey jarvis,greeting,en
नमस्ते,greeting,hi
hello,greeting,en
hi,greeting,en
हैलो,greeting,hin
हैलो,greeting,hi
नमस्ते,greeting,hin
good morning,greeting,en-IN
हैलो,greeting,hi
नमस्ते,greeting,hi
हाय,greeting,hin
नमस्ते,greeting,hi
हैलो,greeting,hin
नमस्ते,greeting,hin
hey jarvis,greeting,en
हैलो,greeting,hin
good morning,greeting,en-IN
हैलो,greeting,hi
हैलो,greeting,hin
hello,greeting,en-IN
हैलो,greeting,hin
हैलो,greeting,hi
hey jarvis,greeting,en
good morning,greeting,en-IN
हैलो,greeting,hin
हैलो,greeting,hin
हाय,greeting,hin
good morning,greeting,en
हैलो,greeting,hi
hi,greeting,en
hey jarvis,greeting,en
hey jarvis,greeting,en-IN
good morning,greeting,en-IN
हाय,greeting,hi
नमस्ते,greeting,hin
hello,greeting,en
hi,greeting,en-IN
नमस्ते,greeting,hin
नमस्ते,greeting,hin
हैलो,greeting,hin
hello,greeting,en
hey jarvis,greeting,en-IN
good morning,greeting,en
good morning,greeting,en-IN
हाय,greeting,hi
हाय,greeting,hi
hi,greeting,en-IN
नमस्ते,greeting,hi
नमस्ते,greeting,hi
hello,greeting,en
नमस्ते,greeting,hi
नमस्ते,greeting,hi
good morning,greeting,en
हैलो,greeting,hi
hi,greeting,en-IN
हैलो,greeting,hin
hello,greeting,en-IN
हाय,greeting,hi
hey jarvis,greeting,en-IN
hey jarvis,greeting,en
हाय,greeting,hi
hi,greeting,en
हैलो,greeting,hi
हाय,greeting,hi
हाय,greeting,hin
हाय,greeting,hi
hey jarvis,greeting,en-IN
good morning,greeting,en-IN
good morning,greeting,en-IN
नमस्ते,greeting,hin
हाय,greeting,hi
नमस्ते,greeting,hi
hello,greeting,en
hi,greeting,en-IN
हैलो,greeting,hi
हाय,greeting,hi
हैलो,greeting,hi
नमस्ते,greeting,hi
hello,greeting,en-IN
hi,greeting,en-IN
नमस्ते,greeting,hin
good morning,greeting,en-IN
हाय,greeting,hin
good morning,greeting,en
hi,greeting,en
नमस्ते,greeting,hi
हैलो,greeting,hi
नमस्ते,greeting,hi
नमस्ते,greeting,hi
नमस्ते,greeting,hin
हैलो,greeting,hin
good morning,greeting,en-IN
hi,greeting,en
नमस्ते,greeting,hin
हैलो,greeting,hi
hello,greeting,en-IN
नमस्ते,greeting,hi
हाय,greeting,hi
हैलो,greeting,hi
हाय,greeting,hin
हाय,greeting,hin
हाय,greeting,hi
good morning,greeting,en-IN
good morning,greeting,en-IN
नमस्ते,greeting,hi
हाय,greeting,hin
हैलो,greeting,hi
नमस्ते,greeting,hi
हाय,greeting,hi
हाय,greeting,hi
हाय,greeting,hi
good morning,greeting,en
हैलो,greeting,hin
hey jarvis,greeting,en
नमस्ते,greeting,hin
hey jarvis,greeting,en-IN
good morning,greeting,en-IN
hello,greeting,en-IN
hey jarvis,greeting,en-IN
hello,greeting,en
नमस्ते,greeting,hin
हैलो,greeting,hi
hello,greeting,en
नमस्ते,greeting,hin
hey jarvis,greeting,en-IN
हाय,greeting,hi
हाय,greeting,hi
hey jarvis,greeting,en-IN
hi,greeting,en-IN
हाय,greeting,hi
नमस्ते,greeting,hi
हैलो,greeting,hi
नमस्ते,greeting,hi
hello,greeting,en-IN
नमस्ते,greeting,hin
hey jarvis,greeting,en
good morning,greeting,en
hi,greeting,en-IN
hello,greeting,en-IN
नमस्ते,greeting,hin
hello,greeting,en
हैलो,greeting,hi
hello,greeting,en-IN
हैलो,greeting,hin
hi,greeting,en-IN
hello,greeting,en
हाय,greeting,hi
hello,greeting,en
hi,greeting,en-IN
हैलो,greeting,hin
हाय,greeting,hin
हैलो,greeting,hin
good morning,greeting,en-IN
hi,greeting,en-IN
हैलो,greeting,hi
hi,greeting,en-IN
hi,greeting,en
hello,greeting,en-IN
नमस्ते,greeting,hin
नमस्ते,greeting,hin
हाय,greeting,hin
हाय,greeting,hin
नमस्ते,greeting,hin
हैलो,greeting,hin
hey jarvis,greeting,en-IN
hey jarvis,greeting,en
hi,greeting,en-IN
हाय,greeting,hin
hi,greeting,en-IN
नमस्ते,greeting,hin
hello,greeting,en-IN
good morning,greeting,en
hi,greeting,en
नमस्ते,greeting,hi
हैलो,greeting,hin
समय क्या है,time_query,hin
कितना बजा है,time_query,hin
समय क्या है,time_query,hin
कितना बजा है,time_query,hin
time please,time_query,en-IN
time please,time_query,en-IN
what time is it,time_query,en-IN
what time is it,time_query,en
कितना बजा है,time_query,hi
समय क्या है,time_query,hin
कितना बजा है,time_query,hi
current time,time_query,en
समय क्या है,time_query,hi
कितना बजा है,time_query,hi
time please,time_query,en
time please,time_query,en-IN
समय क्या है,time_query,hin
current time,time_query,en-IN
समय क्या है,time_query,hi
current time,time_query,en
current time,time_query,en-IN
कितना बजा है,time_query,hi
समय क्या है,time_query,hi
समय क्या है,time_query,hin
समय क्या है,time_query,hi
कितना बजा है,time_query,hi
समय क्या है,time_query,hi
current time,time_query,en
कितना बजा है,time_query,hin
what time is it,time_query,en
time please,time_query,en
कितना बजा है,time_query,hi
समय क्या है,time_query,hi
समय क्या है,time_query,hi
कितना बजा है,time_query,hin
कितना बजा है,time_query,hin
what time is it,time_query,en
time please,time_query,en-IN
current time,time_query,en
current time,time_query,en-IN
कितना बजा है,time_query,hin
time please,time_query,en-IN
समय क्या है,time_query,hi
कितना बजा है,time_query,hi
time please,time_query,en
कितना बजा है,time_query,hin
समय क्या है,time_query,hin
कितना बजा है,time_query,hi
समय क्या है,time_query,hin
what time is it,time_query,en-IN
समय क्या है,time_query,hin
समय क्या है,time_query,hi
कितना बजा है,time_query,hin
कितना बजा है,time_query,hin
समय क्या है,time_query,hi
समय क्या है,time_query,hi
what time is it,time_query,en-IN
time please,time_query,en
current time,time_query,en
what time is it,time_query,en-IN
कितना बजा है,time_query,hi
कितना बजा है,time_query,hin
समय क्या है,time_query,hi
current time,time_query,en-IN
समय क्या है,time_query,hin
समय क्या है,time_query,hi
समय क्या है,time_query,hin
time please,time_query,en
कितना बजा है,time_query,hin
current time,time_query,en
कितना बजा है,time_query,hi
समय क्या है,time_query,hin
समय क्या है,time_query,hi
current time,time_query,en
कितना बजा है,time_query,hin
what time is it,time_query,en
कितना बजा है,time_query,hin
कितना बजा है,time_query,hi
कितना बजा है,time_query,hi
कितना बजा है,time_query,hi
current time,time_query,en-IN
time please,time_query,en
समय क्या है,time_query,hi
current time,time_query,en
time please,time_query,en-IN
समय क्या है,time_query,hin
कितना बजा है,time_query,hi
what time is it,time_query,en
current time,time_query,en-IN
समय क्या है,time_query,hin
what time is it,time_query,en
समय क्या है,time_query,hi
current time,time_query,en
समय क्या है,time_query,hin
कितना बजा है,time_query,hin
कितना बजा है,time_query,hin
कितना बजा है,time_query,hi
what time is it,time_query,en-IN
current time,time_query,en-IN
what time is it,time_query,en-IN
समय क्या है,time_query,hi
what time is it,time_query,en-IN
कितना बजा है,time_query,hi
समय क्या है,time_query,hin
what time is it,time_query,en-IN
what time is it,time_query,en-IN
कितना बजा है,time_query,hin
कितना बजा है,time_query,hi
कितना बजा है,time_query,hi
time please,time_query,en-IN
कितना बजा है,time_query,hin
what time is it,time_query,en
time please,time_query,en-IN
current time,time_query,en-IN
कितना बजा है,time_query,hi
समय क्या है,time_query,hi
समय क्या है,time_query,hin
time please,time_query,en
time please,time_query,en-IN
कितना बजा है,time_query,hi
time please,time_query,en-IN
समय क्या है,time_query,hi
time please,time_query,en
time please,time_query,en
कितना बजा है,time_query,hin
कितना बजा है,time_query,hin
current time,time_query,en-IN
समय क्या है,time_query,hi
time please,time_query,en-IN
current time,time_query,en
current time,time_query,en-IN
कितना बजा है,time_query,hin
time please,time_query,en
कितना बजा है,time_query,hi
current time,time_query,en
current time,time_query,en
कितना बजा है,time_query,hin
time please,time_query,en-IN
what time is it,time_query,en
समय क्या है,time_query,hin
कितना बजा है,time_query,hin
कितना बजा है,time_query,hi
time please,time_query,en-IN
समय क्या है,time_query,hi
what time is it,time_query,en
time please,time_query,en-IN
समय क्या है,time_query,hi
कितना बजा है,time_query,hin
time please,time_query,en
कितना बजा है,time_query,hin
what time is it,time_query,en-IN
समय क्या है,time_query,hin
कितना बजा है,time_query,hi
समय क्या है,time_query,hin
time please,time_query,en
कितना बजा है,time_query,hin
समय क्या है,time_query,hin
कितना बजा है,time_query,hin
time please,time_query,en
कितना बजा है,time_query,hin
समय क्या है,time_query,hin
what time is it,time_query,en
समय क्या है,time_query,hin
समय क्या है,time_query,hin
what time is it,time_query,en-IN
कितना बजा है,time_query,hin
current time,time_query,en-IN
कितना बजा है,time_query,hin
what time is it,time_query,en-IN
समय क्या है,time_query,hi
कितना बजा है,time_query,hi
time please,time_query,en-IN
what time is it,time_query,en
current time,time_query,en-IN
time please,time_query,en
time please,time_query,en
कितना बजा है,time_query,hin
what time is it,time_query,en-IN
time please,time_query,en
समय क्या है,time_query,hi
कितना बजा है,time_query,hin
समय क्या है,time_query,hi
कितना बजा है,time_query,hi
कितना बजा है,time_query,hi
current time,time_query,en-IN
what time is it,time_query,en-IN
time please,time_query,en-IN
time please,time_query,en-IN
what time is it,time_query,en
time please,time_query,en
current time,time_query,en-IN
what time is it,time_query,en
what time is it,time_query,en-IN
time please,time_query,en-IN
time please,time_query,en-IN
कितना बजा है,time_query,hin
कितना बजा है,time_query,hi
कितना बजा है,time_query,hin
what time is it,time_query,en-IN
समय क्या है,time_query,hi
समय क्या है,time_query,hin
time please,time_query,en-IN
समय क्या है,time_query,hin
कितना बजा है,time_query,hin
time please,time_query,en
समय क्या है,time_query,hi
समय क्या है,time_query,hi
कितना बजा है,time_query,hi
कितना बजा है,time_query,hin
समय क्या है,time_query,hi
समय क्या है,time_query,hin
time please,time_query,en-IN
कितना बजा है,time_query,hi
time please,time_query,en-IN
कितना बजा है,time_query,hi
what time is it,time_query,en-IN
समय क्या है,time_query,hin
current time,time_query,en-IN
time please,time_query,en-IN
current time,time_query,en-IN
समय क्या है,time_query,hin
time please,time_query,en-IN
current time,time_query,en-IN
कितना बजा है,time_query,hin
कितना बजा है,time_query,hin
current time,time_query,en
current time,time_query,en
time please,time_query,en
what time is it,time_query,en-IN
what time is it,time_query,en
कितना बजा है,time_query,hin
time please,time_query,en-IN
समय क्या है,time_query,hi
what time is it,time_query,en-IN
time please,time_query,en
what time is it,time_query,en
what time is it,time_query,en
समय क्या है,time_query,hi
कितना बजा है,time_query,hi
कितना बजा है,time_query,hin
कितना बजा है,time_query,hi
कितना बजा है,time_query,hin
time please,time_query,en-IN
time please,time_query,en-IN
कितना बजा है,time_query,hin
what time is it,time_query,en
time please,time_query,en-IN
what time is it,time_query,en
what time is it,time_query,en-IN
समय क्या है,time_query,hi
time please,time_query,en
current time,time_query,en
कितना बजा है,time_query,hin
current time,time_query,en
समय क्या है,time_query,hi
कितना बजा है,time_query,hi
समय क्या है,time_query,hi
time please,time_query,en-IN
कितना बजा है,time_query,hin
time please,time_query,en-IN
what time is it,time_query,en-IN
समय क्या है,time_query,hi
समय क्या है,time_query,hi
समय क्या है,time_query,hi
समय क्या है,time_query,hi
current time,time_query,en
समय क्या है,time_query,hin
समय क्या है,time_query,hi
time please,time_query,en-IN
समय क्या है,time_query,hin
कितना बजा है,time_query,hi
current time,time_query,en
time please,time_query,en
कितना बजा है,time_query,hi
कितना बजा है,time_query,hin
कितना बजा है,time_query,hin
what time is it,time_query,en
time please,time_query,en
कितना बजा है,time_query,hin
कितना बजा है,time_query,hin
what time is it,time_query,en-IN
कितना बजा है,time_query,hin
current time,time_query,en-IN
what time is it,time_query,en-IN
time please,time_query,en-IN
कितना बजा है,time_query,hi
समय क्या है,time_query,hin
कितना बजा है,time_query,hi
time please,time_query,en
current time,time_query,en
कितना बजा है,time_query,hin
कितना बजा है,time_query,hi
समय क्या है,time_query,hin
what time is it,time_query,en
time please,time_query,en-IN
current time,time_query,en-IN
कितना बजा है,time_query,hin
समय क्या है,time_query,hi
time please,time_query,en
current time,time_query,en-IN
current time,time_query,en
time please,time_query,en-IN
समय क्या है,time_query,hin
समय क्या है,time_query,hin
कितना बजा है,time_query,hin
time please,time_query,en
time please,time_query,en
समय क्या है,time_query,hi
current time,time_query,en
कितना बजा है,time_query,hin
समय क्या है,time_query,hin
कितना बजा है,time_query,hi
कितना बजा है,time_query,hin
current time,time_query,en-IN
what time is it,time_query,en-IN
समय क्या है,time_query,hi
समय क्या है,time_query,hin
कितना बजा है,time_query,hin
समय क्या है,time_query,hi
what time is it,time_query,en-IN
समय क्या है,time_query,hi
कितना बजा है,time_query,hi
what time is it,time_query,en
current time,time_query,en-IN
time please,time_query,en-IN
current time,time_query,en-IN
current time,time_query,en-IN
what time is it,time_query,en-IN
current time,time_query,en
कितना बजा है,time_query,hin
समय क्या है,time_query,hin
समय क्या है,time_query,hin
what time is it,time_query,en
what time is it,time_query,en
time please,time_query,en
time please,time_query,en
what time is it,time_query,en
current time,time_query,en
कितना बजा है,time_query,hin
समय क्या है,time_query,hin
कितना बजा है,time_query,hin
current time,time_query,en
what time is it,time_query,en
current time,time_query,en-IN
time please,time_query,en-IN
कितना बजा है,time_query,hin
समय क्या है,time_query,hi
समय क्या है,time_query,hi
time please,time_query,en-IN
time please,time_query,en
समय क्या है,time_query,hi
समय क्या है,time_query,hi
what time is it,time_query,en-IN
what time is it,time_query,en
कितना बजा है,time_query,hi
कितना बजा है,time_query,hin
current time,time_query,en
time please,time_query,en
current time,time_query,en
समय क्या है,time_query,hi
कितना बजा है,time_query,hi
समय क्या है,time_query,hin
कितना बजा है,time_query,hin
समय क्या है,time_query,hin
what time is it,time_query,en-IN
कितना बजा है,time_query,hi
समय क्या है,time_query,hin
time please,time_query,en-IN
समय क्या है,time_query,hin
what time is it,time_query,en-IN
कितना बजा है,time_query,hi
time please,time_query,en-IN
कितना बजा है,time_query,hi
what time is it,time_query,en
what time is it,time_query,en-IN
कितना बजा है,time_query,hi
current time,time_query,en
समय क्या है,time_query,hin
time please,time_query,en
समय क्या है,time_query,hi
समय क्या है,time_query,hi
समय क्या है,time_query,hin
समय क्या है,time_query,hi
what time is it,time_query,en
समय क्या है,time_query,hi
current time,time_query,en-IN
कितना बजा है,time_query,hi
time please,time_query,en-IN
कितना बजा है,time_query,hi
समय क्या है,time_query,hi
समय क्या है,time_query,hin
what time is it,time_query,en
current time,time_query,en
current time,time_query,en-IN
time please,time_query,en-IN
time please,time_query,en-IN
समय क्या है,time_query,hin
कितना बजा है,time_query,hi
समय क्या है,time_query,hi
कितना बजा है,time_query,hin
कितना बजा है,time_query,hi
time please,time_query,en
time please,time_query,en
current time,time_query,en-IN
current time,time_query,en-IN
time please,time_query,en-IN
time please,time_query,en
समय क्या है,time_query,hi
कितना बजा है,time_query,hin
समय क्या है,time_query,hin
what time is it,time_query,en
what time is it,time_query,en
current time,time_query,en
what time is it,time_query,en-IN
what time is it,time_query,en-IN
current time,time_query,en-IN
what time is it,time_query,en
समय क्या है,time_query,hin
what time is it,time_query,en
कितना बजा है,time_query,hi
time please,time_query,en
समय क्या है,time_query,hi
current time,time_query,en-IN
समय क्या है,time_query,hin
time please,time_query,en-IN
समय क्या है,time_query,hi
समय क्या है,time_query,hin
time please,time_query,en
current time,time_query,en-IN
what time is it,time_query,en-IN
current time,time_query,en
what time is it,time_query,en
time please,time_query,en
कितना बजा है,time_query,hi
समय क्या है,time_query,hin
current time,time_query,en
time please,time_query,en-IN
time please,time_query,en
समय क्या है,time_query,hin
कितना बजा है,time_query,hi
समय क्या है,time_query,hi
current time,time_query,en
time please,time_query,en-IN
कितना बजा है,time_query,hin
current time,time_query,en
time please,time_query,en-IN
what time is it,time_query,en-IN
current time,time_query,en-IN
time please,time_query,en-IN
समय क्या है,time_query,hi
कितना बजा है,time_query,hi
समय क्या है,time_query,hin
समय क्या है,time_query,hi
समय क्या है,time_query,hi
time please,time_query,en
time please,time_query,en-IN
what time is it,time_query,en-IN
समय क्या है,time_query,hin
समय क्या है,time_query,hi
current time,time_query,en-IN
कितना बजा है,time_query,hi
कितना बजा है,time_query,hi
time please,time_query,en
कितना बजा है,time_query,hin
what time is it,time_query,en
time please,time_query,en-IN
current time,time_query,en-IN
time please,time_query,en-IN
समय क्या है,time_query,hi
current time,time_query,en-IN
what time is it,time_query,en-IN
कितना बजा है,time_query,hi
कितना बजा है,time_query,hi
कितना बजा है,time_query,hi
current time,time_query,en-IN
time please,time_query,en-IN
समय क्या है,time_query,hin
current time,time_query,en-IN
current time,time_query,en
कितना बजा है,time_query,hin
time please,time_query,en-IN
कितना बजा है,time_query,hi
current time,time_query,en-IN
समय क्या है,time_query,hi
time please,time_query,en-IN
what time is it,time_query,en-IN
समय क्या है,time_query,hi
what time is it,time_query,en
what time is it,time_query,en
कितना बजा है,time_query,hin
कितना बजा है,time_query,hin
समय क्या है,time_query,hin
time please,time_query,en
time please,time_query,en
current time,time_query,en-IN
कितना बजा है,time_query,hin
समय क्या है,time_query,hin
कितना बजा है,time_query,hin
समय क्या है,time_query,hin
current time,time_query,en
time please,time_query,en
current time,time_query,en-IN
time please,time_query,en
समय क्या है,time_query,hi
time please,time_query,en
time please,time_query,en
कितना बजा है,time_query,hi
current time,time_query,en
time please,time_query,en-IN
what time is it,time_query,en-IN
कितना बजा है,time_query,hin
कितना बजा है,time_query,hin
कितना बजा है,time_query,hi
what time is it,time_query,en
कितना बजा है,time_query,hin
current time,time_query,en
time please,time_query,en
कितना बजा है,time_query,hi
time please,time_query,en
current time,time_query,en-IN
समय क्या है,time_query,hin
